Spiel;Genre;Minispiel;"Geforderte Skills"
;;;
Minecraft;Sandbox;Angeln;Motorik
The Witcher 3;Action-Adventure;Gwint;Strategie
The Witcher 3;Action-Adventure;Pferderennen;Strategie
The Witcher 3;Action-Adventure;Faustkampf;Strategie, Motorik
RDR 2;Action-Adventure;Poker;Strategie, Logik
RDR 2;Action-Adventure;Domino;Strategie, Logik
RDR 2;Action-Adventure;Blackjack;Strategie, Logik
RDR 2;Action-Adventure;Five Finger Fillet;Motorik, Gedächtnis
RDR 2;Action-Adventure;Angeln;Motorik
Silent Hill 2;Survival Horror;Coin Puzzle;Logik
Silent Hill 2;Survival Horror;Zahlenkombnation;Logik
Silent Hill 2;Survival Horror;Armband Puzzle;Logik
Silent Hill 2;Survival Horror;X-Ray Puzzle;Logik
Silent Hill 2;Survival Horror;Bücher Puzzle;Logik
Silent Hill 2;Survival Horror;Generator Puzzle;Logik
Silent Hill 2;Survival Horror;Gewichte Puzzle;Logik
Silent Hill 2;Survival Horror;Galgen Puzzle;Logik
Silent Hill 2;Survival Horror;Spiegel Rätsel;Logik
Silent Hill 2;Survival Horror;Spieluhr Rätsel;Logik
Genshin Impact;Open World RPG;Angeln;Motorik
Genshin Impact;Open World RPG;Genius Invokation TCG;Strategie, Logik
Genshin Impact;Open World RPG;Repertoire of Myriad Melodies;Timing, Motorik, Multitasking
Harry Potter und der Halbblut-Prinz;Action-Adventure;Wizard Skittles;Motorik, Strategie
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch;Motorik
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch Variation;Motorik
Harry Potter und der Halbblut-Prinz;Action-Adventure;Gobstones;Motorik, Strategie
Harry Potter und der Halbblut-Prinz;Action-Adventure;Jack Stone;Motorik, Strategie
Harry Potter und der Halbblut-Prinz;Action-Adventure;Snake Pit;Motorik, Strategie
Harry Potter und der Halbblut-Prinz;Action-Adventure;Potions;Motorik, Timing
Harry Potter und der Halbblut-Prinz;Action-Adventure;Zauberduelle;Strategie
Harry Potter und der Halbblut-Prinz;Action-Adventure;Exploding Snap;Timing
Harry Potter und der Halbblut-Prinz;Action-Adventure;Patience Game;Timing
Harry Potter und der Halbblut-Prinz;Action-Adventure;Bavarian Rules Snap;Timing
Mafia II;Action-Adventure;Lockpicking;Timing
The Order: 1886;Action-Adventure;Lockpicking;Motorik, Timing
The Order: 1886;Action-Adventure;Umkehrer/Gleichrichter TS-27 (Stromzufuhr unterbrechen);Motorik, Timing
The Order: 1886;Action-Adventure;Morse Code;Motorik, Timing
Mafia III;Action-Adventure;Lockpulling;Motorik, Timing
Fallout 4;Open World RPG;Lockpicking;Motorik
Fallout 4;Open World RPG;Hacking;Logik
Fallout 4;Open World RPG;Pipfall;Motorik, Timing, Strategie
Fallout 4;Open World RPG;Red Menace;Motorik, Timing, Strategie
Fallout 4;Open World RPG;Atomic Command;Motorik
Fallout 4;Open World RPG;Zeta Invaders;Motorik
Fallout 4;Open World RPG;Grognak the Barbarian and the Ruby Ruins;Strategie
Resident Evil Biohazard;Survival Horror;Schatten Puzzle;Logik
Resident Evil Biohazard;Survival Horror;"""7"" Puzzle";Logik
Resident Evil Biohazard;Survival Horror;Happy Birthday Puzzle;Logik
Resident Evil 2 (Remake);Survival Horror;Statue Puzzle;Motorik
Resident Evil 2 (Remake);Survival Horror;Electric Door Panel;Logik
Resident Evil 2 (Remake);Survival Horror;Zahlenkombnation;Motorik, Logik
Resident Evil 2 (Remake);Survival Horror;Tragbarer Tresor;Gedächtnis
Resident Evil 2 (Remake);Survival Horror;Generator Switch Puzzle;Logik
Resident Evil 2 (Remake);Survival Horror;Sherry Puzzle;Logik
Resident Evil 2 (Remake);Survival Horror;Verteilerkatusche Puzzle;Logik
Animal Crossing New Horizons;Simulation;Fischen;Motorik, Timing
Animal Crossing New Horizons;Simulation;Gruppengymnastik;Motorik
Resident Evil Village;Survival Horror;Labyrinth Puzzle;Motorik
Resident Evil Village;Survival Horror;Musik Box Puzzle;Logik
Resident Evil Village;Survival Horror;Film Puzzle;Logik
Resident Evil Village;Survival Horror;Schleusentor Puzzle;Logik
Resident Evil Village;Survival Horror;Piano Puzzle;Logik
Five Nights at Freddy's: Security Breach;Survival Horror;Princess Quest;Motorik
Five Nights at Freddy's: Security Breach;Survival Horror;Balloon World;Motorik, Timing
Five Nights at Freddy's: Security Breach;Survival Horror;Monty Golf AR-Arcade;Motorik
Resident Evil 4 (Remake);Survival Horror;Shooting Range;Motorik, Timing
Resident Evil 4 (Remake);Survival Horror;Symbol Schloss Puzzle;Logik
Resident Evil 4 (Remake);Survival Horror;Crystal Marble Puzzle;Logik
Resident Evil 4 (Remake);Survival Horror;Lake Door Puzzle;Logik
Resident Evil 4 (Remake);Survival Horror;Hexagon Puzzle;Logik
Resident Evil 4 (Remake);Survival Horror;Stained Glass Puzzle;Logik
Resident Evil 4 (Remake);Survival Horror;Strom Puzzel;Logik
Palia;Simulation;Angeln;Motorik, Timing
Palia;Simulation;Kochen;Motorik, Timing
Hogwarts Legacy;Open World RPG;Accio Duell;Motorik, Timing, Strategie
Hogwarts Legacy;Open World RPG;Duelling Club;Motorik
Hogwarts Legacy;Open World RPG;Broom Trials;Motorik
Hogwarts Legacy;Open World RPG;Battle Arena;Motorik
Hogwarts Legacy;Open World RPG;Alohomora / Lockpicking;Motorik
Hogwarts Legacy;Open World RPG;Ballons zerplatzen;Motorik
Hogwarts Legacy;Open World RPG;Merlins Prüfungen;Motorik
God of War III;Action-Adventure;Pandoras Musik Puzzle;Motorik, Timing
Resident Evil 3 (Remake);Survival Horror;Schienen Puzzle;Logik
Resident Evil 3 (Remake);Survival Horror;Lab Puzzle;Logik
Silent Hill f;Survival Horror;Altar Rätsel;Logik
Silent Hill f;Survival Horror;Zahlenkombnation;Logik, Motorik
Silent Hill f;Survival Horror;Geheimkiste Rätsel;Logik
Silent Hill f;Survival Horror;Waage Rätsel;Logik
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Data Diver Upgrade;Logik, Timing
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Power Generator;Logik
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Moon.exe;Logik
